Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Govde_link,5.7775E-17,5.9213E-17,0.002,0,0,0,0.079144,0.00017878,-3.2067E-19,-5.1074E-23,0.00017878,1.4801E-20,0.00035735,0,0,0,0,0,0,package://hexapod/meshes/Govde_link.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod/meshes/Govde_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Coxa1_link,-0.0185,-0.0301385742,0.0066385742,0,0,0,0.1699959409,5.90314875704817E-05,-4.15854322871972E-06,-4.15854322512711E-06,5.74367236986453E-05,-9.87794274959413E-08,5.74367237066601E-05,0,0,0,0,0,0,package://hexapod/meshes/Coxa1_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa1_link.STL,,coxa-1,Origin_coxa1_joint,Axis_coxa1_joint,coxa1_joint,revolute,-0.099,0,0,1.5708,0,0,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur1_link,1.21430643318376E-16,-0.045,0.00325,0,0,0,0.058152541,6.65382236214389E-05,1.96426453412661E-20,4.43648046799647E-19,4.03658664661742E-05,1.24888787866345E-20,3.48173626115179E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur1_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur1_link.STL,,femur-1,Origin_femur1_joint,Axis_femur1_joint,femur1_joint,revolute,-0.037,-0.0235,0,0,0,-1.5708,Coxa1_link,0,0,1,0,0,0,0,,,,,,,,
Tibia1_link,0.0042552699,-0.0032789639,0.0225246421,0,0,0,0.1138551116,7.80357448831079E-05,3.09106279546338E-07,1.98823632785206E-06,7.06957769659521E-05,-2.09458321132716E-07,2.13264519730414E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia1_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia1_link.STL,,tibia-5,Origin_tibia1_joint,Axis_tibia1_joint,tibia1_joint,revolute,0,-0.09,0,-1.5708,0,-1.5708,Femur1_link,0,1,0,0,0,0,0,,,,,,,,
Coxa2_link,-0.0185000001,-0.0301385744,0.0066385741,0,0,0,0.1699959407,5.90314874049004E-05,-4.15854309487833E-06,-4.15854316599656E-06,5.74367236947353E-05,-9.87794153258527E-08,5.74367234970489E-05,0,0,0,0,0,0,package://hexapod/meshes/Coxa2_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa2_link.STL,,coxa-2,Origin_coxa2_joint,Axis_coxa2_joint,coxa2_joint,revolute,-0.0495,0.085737,0,1.5708,0,-1.0472,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur2_link,1.42247325030098E-16,-0.045,-0.00325,0,0,0,0.058152541,6.65382236214387E-05,3.87525111421485E-20,4.48517879212139E-19,4.03658664661741E-05,-3.30342849429177E-20,3.48173626115178E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur2_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur2_link.STL,,femur-2,Origin_femur2_joint,Axis_femur2_joint,femur2_joint,revolute,-0.037,-0.0235,0,-3.1416,0,1.5708,Coxa2_link,0,0,1,0,0,0,0,,,,,,,,
Tibia2_link,0.0042552698,-0.0032789637,0.0225246421,0,0,0,0.1138551126,7.80357451994073E-05,3.09106256045215E-07,1.98823633121716E-06,7.06957771051426E-05,-2.09458505944949E-07,2.13264521700575E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia2_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia2_link.STL,,tibia-6,Origin_tibia2_joint,Axis_tibia2_joint,tibia2_joint,revolute,0,-0.09,0,1.5708,0,-1.5708,Femur2_link,0,1,0,0,0,0,0,,,,,,,,
Coxa3_link,-0.0185000002,-0.0301385744,0.006638574,0,0,0,0.1699959414,5.90314876877299E-05,-4.15854311483966E-06,-4.15854322144646E-06,5.74367239451212E-05,-9.87795160798642E-08,5.74367235426385E-05,0,0,0,0,0,0,package://hexapod/meshes/Coxa3_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa3_link.STL,,coxa-3,Origin_coxa3_joint,Axis_coxa3_joint,coxa3_joint,revolute,0.0495,0.085737,0,1.5708,0,-2.0944,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur3_link,1.35308431126191E-16,-0.045,-0.00325,0,0,0,0.058152541,6.65382236214389E-05,2.33356014750768E-20,4.55862299725936E-19,4.03658664661741E-05,5.9292306307801E-21,3.48173626115179E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur3_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur3_link.STL,,femur-3,Origin_femur3_joint,Axis_femur3_joint,femur3_joint,revolute,-0.037,-0.0235,0,3.1416,0,1.5708,Coxa3_link,0,0,1,0,0,0,0,,,,,,,,
Tibia3_link,0.0042552698,-0.0032789638,0.0225246421,0,0,0,0.1138551123,7.80357450765734E-05,3.09106225785895E-07,1.98823632916016E-06,7.0695777071701E-05,-2.09458492296267E-07,2.13264520504072E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia3_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia3_link.STL,,tibia-7,Origin_tibia3_joint,Axis_tibia3_joint,tibia3_joint,revolute,0,-0.09,0,1.5708,0,-1.5708,Femur3_link,0,1,0,0,0,0,0,,,,,,,,
Coxa4_link,-0.0185,-0.0301385742,0.0066385742,0,0,0,0.1699959409,5.90314875704818E-05,-4.15854322871972E-06,-4.15854322512712E-06,5.74367236986454E-05,-9.87794274959357E-08,5.74367237066602E-05,0,0,0,0,0,0,package://hexapod/meshes/Coxa4_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa4_link.STL,,coxa-4,Origin_coxa4_joint,Axis_coxa4_joint,coxa4_joint,revolute,0.099,0,0,1.5708,0,3.1416,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur4_link,1.00613961606655E-16,-0.045,-0.00325,0,0,0,0.058152541,6.65382236214389E-05,2.04433722858752E-20,4.76966423682571E-19,4.03658664661742E-05,8.6560774219096E-21,3.48173626115179E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur4_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur4_link.STL,,femur-4,Origin_femur4_joint,Axis_femur4_joint,femur4_joint,revolute,-0.037,-0.0235,0,-3.1416,0,1.5708,Coxa4_link,0,0,1,0,0,0,0,,,,,,,,
Tibia4_link,0.0042552699,-0.0032789639,0.0225246421,0,0,0,0.1138551116,7.80357448831077E-05,3.09106279546342E-07,1.98823632785209E-06,7.06957769659518E-05,-2.09458321132576E-07,2.13264519730414E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia4_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia4_link.STL,,tibia-1,Origin_tibia4_joint,Axis_tibia4_joint,tibia4_joint,revolute,0,-0.09,0,1.5708,0,-1.5708,Femur4_link,0,1,0,0,0,0,0,,,,,,,,
Coxa5_link,-0.0185000001,-0.0301385744,0.0066385741,0,0,0,0.1699959407,5.90314874216647E-05,-4.1585430962515E-06,-4.15854316808244E-06,5.7436723708312E-05,-9.87794231617761E-08,5.7436723504641E-05,0,0,0,0,0,0,package://hexapod/meshes/Coxa5_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa5_link.STL,,coxa-5,Origin_coxa5_joint,Axis_coxa5_joint,coxa5_joint,revolute,0.0495,-0.085737,0,1.5708,0,2.0944,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur5_link,1.2490009027033E-16,-0.045,-0.00325,0,0,0,0.058152541,6.65382236214389E-05,1.96167040367404E-20,4.56797030800267E-19,4.03658664661742E-05,2.79520872593919E-20,3.48173626115179E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur5_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur5_link.STL,,femur-5,Origin_femur5_joint,Axis_femur5_joint,femur5_joint,revolute,-0.037,-0.0235,0,3.1416,0,1.5708,Coxa5_link,0,0,1,0,0,0,0,,,,,,,,
Tibia5_link,0.0042552698,-0.0032789637,0.0225246421,0,0,0,0.1138551125,7.80357451895099E-05,3.09106255929233E-07,1.98823633113381E-06,7.06957771015181E-05,-2.09458501305077E-07,2.13264521629673E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia5_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia5_link.STL,,tibia-2,Origin_tibia5_joint,Axis_tibia5_joint,tibia5_joint,revolute,0,-0.09,0,1.5708,0,-1.5708,Femur5_link,0,1,0,0,0,0,0,,,,,,,,
Coxa6_link,0,0,0,0,0,0,0.058152541,0,0,0,0,0,0,0,0,0,0,0,0,package://hexapod/meshes/Coxa6_link.STL,1,1,1,1,0,0,0,0,0,0,package://hexapod/meshes/Coxa6_link.STL,,coxa-6,Origin_coxa6_joint,Axis_coxa6_joint,coxa6_joint,revolute,-0.0495,-0.085737,0,1.5708,0,1.0472,Govde_link,0,1,0,0,0,0,0,,,,,,,,
Femur6_link,-6.59194920871187E-17,-0.045,-0.00325,0,0,0,0.058152541,6.65382236214389E-05,1.77082825535352E-20,4.60521225510322E-19,4.03658664661741E-05,1.01643953670516E-20,3.4817362611518E-05,0,0,0,0,0,0,package://hexapod/meshes/Femur6_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Femur6_link.STL,,femur-6,Origin_femur6_joint,Axis_femur6_joint,femur6_joint,revolute,-0.037,-0.0235,0,3.1416,0,1.5558,Coxa6_link,0,0,1,0,0,0,0,,,,,,,,
Tibia6_link,0.0042552698,-0.0032789638,0.0225246421,0,0,0,0.1138551123,7.80357450754875E-05,3.0910622627328E-07,1.98823633042598E-06,7.06957770739825E-05,-2.0945849294928E-07,2.13264520511769E-05,0,0,0,0,0,0,package://hexapod/meshes/Tibia6_link.STL,0.7529411765,0.7529411765,0.7529411765,1,0,0,0,0,0,0,package://hexapod/meshes/Tibia6_link.STL,,tibia-4,Origin_tibia6_joint,Axis_tibia6_joint,tibia6_joint,revolute,0,-0.09,0,1.5708,0,-1.5815,Femur6_link,0,1,0,0,0,0,0,,,,,,,,
